make,model,year,trany,VClass,barrels08
Hyundai,Tucson 2WD,2011-01-01,automatic,Sport Utility Vehicle - 2WD,12.677308
Mercury,Tracer,1992-01-01,automatic,Compact Cars,12.677308
Chevrolet,HHR Panel FWD,2011-01-01,manual,Sport Utility Vehicle - 2WD,12.677308
Chevrolet,HHR FWD,2011-01-01,manual,Sport Utility Vehicle - 2WD,12.677308
Nissan,Cube,2009-01-01,manual,Small Station Wagons,12.677308
Suzuki,Esteem,2002-01-01,automatic,Subcompact Cars,12.677308
GMC,Terrain FWD,2011-01-01,automatic,Sport Utility Vehicle - 2WD,12.677308
Chevrolet,Equinox FWD,2011-01-01,automatic,Sport Utility Vehicle - 2WD,12.677308
Saturn,SW,1997-01-01,automatic,Small Station Wagons,12.677308
Chevrolet,Aveo 5,2005-01-01,automatic,Compact Cars,12.677308
Suzuki,Esteem,2002-01-01,automatic,Subcompact Cars,12.677308
Chevrolet,Aveo,2005-01-01,automatic,Compact Cars,12.677308
Kia,Soul,2011-01-01,manual,Small Station Wagons,12.677308
GMC,Terrain FWD,2010-01-01,automatic,Sport Utility Vehicle - 2WD,12.677308
Suzuki,SX4 Sedan,2010-01-01,manual,Compact Cars,12.677308
Suzuki,SX4 Sport,2010-01-01,automatic,Compact Cars,12.677308
Pontiac,Wave 5,2005-01-01,automatic,Compact Cars,12.677308
Suzuki,Esteem,1999-01-01,automatic,Subcompact Cars,12.677308
Mercury,Tracer,1995-01-01,automatic,Compact Cars,12.677308
Saturn,SW,1998-01-01,automatic,Small Station Wagons,12.677308
Nissan,Sentra,2000-01-01,manual,Compact Cars,12.677308
Nissan,Sentra,2000-01-01,automatic,Compact Cars,12.677308
Saturn,SW,1998-01-01,manual,Small Station Wagons,12.677308
Dodge,Caliber,2008-01-01,manual,Small Station Wagons,12.677308
MINI,Cooper Convertible,2008-01-01,manual,Minicompact Cars,12.677308
Mazda,Protege,2000-01-01,automatic,Compact Cars,12.677308
Hyundai,Elantra,2004-01-01,manual,Compact Cars,12.677308
Toyota,Highlander Hybrid 4WD,2010-01-01,automatic,Sport Utility Vehicle - 4WD,12.677308
Hyundai,Accent/Brio,2004-01-01,automatic,Compact Cars,12.677308
Suzuki,SX4 Sedan,2008-01-01,automatic,Compact Cars,12.677308
